741273013952,BACH RESCUE REM. SPR,1.000,$20.99,$20.99,,,,,,,,,
852738005174,ILIDS STORAGE LID RE,1.000,$7.49,$7.49,,,,,,,,,
718334334134,DE WHITENING TPASTE,1.000,$5.79,$5.79,,,,,,,,,
16,MARY TURKEY FREE RANGE,16.300,$1.59,$25.92,,,,,,,,,
,Debit Card,,,$248.67,,,,,,,,,
,SUBTOTAL,,,$248.67,,,,,,,,,
,TOTAL,,,$248.67,,,,,,,,,
,TOTAL TENDERED,,,$248.67,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 248.67,,,,,,,,,,,,
,Date: 1/3/16 2:35:02 PM PST,,,,,,,,,,,,
,Reference #: 0160,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68815,Invoice Number :,RS106068815,Start :,01/03/2016 02:35:18 PM,End : ,01/03/2016 02:35:46 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
2568,PINEAPPLE OG,.070,$13.59,$.95,,,,,,,,,
3337,TEA CHAI ROOIBOS HON,.010,$19.29,$.19,,,,,,,,,
,Cash,,,$10.15,,,,,,,,,
,SUBTOTAL,,,$1.14,,,,,,,,,
,TOTAL,,,$1.14,,,,,,,,,
,TOTAL TENDERED,,,$10.15,,,,,,,,,
,Change,,,$9.01,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68816,Invoice Number :,RS106068816,Start :,01/03/2016 02:36:45 PM,End : ,01/03/2016 02:36:45 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68816,Invoice Number :,RS106068816,Start :,01/03/2016 02:36:45 PM,End : ,01/03/2016 02:36:45 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,No Sale,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68817,Invoice Number :,RS106068817,Start :,01/03/2016 02:37:14 PM,End : ,01/03/2016 02:37:57 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
041507065703,THAY SLIP ELM ORIG,1.000,$5.99,$5.99,,,,,,,,,
041954000111,ZAND LOZENGE MINT,1.000,$1.99,$1.99,,,,,,,,,
,Debit Card,,,$7.98,,,,,,,,,
,SUBTOTAL,,,$7.98,,,,,,,,,
,TOTAL,,,$7.98,,,,,,,,,
,TOTAL TENDERED,,,$7.98,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 7.98,,,,,,,,,,,,
,Date: 1/3/16 2:37:57 PM PST,,,,,,,,,,,,
,Reference #: 0161,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2128 : zzDonovan,Terminal :,5 : POS5                          ,Receipt Number :,65101,Invoice Number :,RS105065101,Start :,01/03/2016 02:37:09 PM,End : ,01/03/2016 02:38:33 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
714360727841,LP JAM JAR 324 ML,1.000,$1.99,$1.99,,,,,,,,,
032917001580,TM COLD SEASON HERB,1.000,$4.89,$4.89,,,,,,,,,
94225,AVOCADO HASS,1.000,$2.00,$2.00,,,,,,,,,
94688,PEPPER BELL RED,.410,$2.99,$1.23,,,,,,,,,
94640,LETTUCE ROMAINE,1.000,$2.99,$2.99,,,,,,,,,
5300,GARDEN,1.000,$3.99,$3.99,,,,,,,,,
94383,TANGELO MINNEOLA,1.370,$1.99,$2.73,,,,,,,,,
631740460030,PRES SANDWICH CONTAI,1.000,$5.69,$5.69,,,,,,,,,
749174098894,EF ECOS LAUNDRY FREE,1.000,$8.99,$8.99,,,,,,,,,
042563600006,FD BLACK BEANS,1.000,$1.00,$1.00,,,,,,,,,
,Cash,,,$50.00,,,,,,,,,
,SUBTOTAL,,,$35.50,,,,,,,,,
,TOTAL,,,$35.50,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2128 : zzDonovan,Terminal :,5 : POS5                          ,Receipt Number :,65101,Invoice Number :,RS105065101,Start :,01/03/2016 02:37:09 PM,End : ,01/03/2016 02:38:33 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,TOTAL TENDERED,,,$50.00,,,,,,,,,
,Change,,,$14.50,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2128 : zzDonovan,Terminal :,5 : POS5                          ,Receipt Number :,65102,Invoice Number :,RS105065102,Start :,01/03/2016 02:39:18 PM,End : ,01/03/2016 02:39:52 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94550,BRUSSELS SPROUT,1.310,$7.99,$10.47,,,,,,,,,
00542,FA VEG GREEK WRAP,1.334,$2.99,$3.99,,,,,,,,,
,Debit Card,,,$14.46,,,,,,,,,
,SUBTOTAL,,,$14.46,,,,,,,,,
,TOTAL,,,$14.46,,,,,,,,,
,TOTAL TENDERED,,,$14.46,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 14.46,,,,,,,,,,,,
,Date: 1/3/16 2:39:52 PM PST,,,,,,,,,,,,
,Reference #: 0162,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2166 : zzJacob,Terminal :,3 : POS3                          ,Receipt Number :,64556,Invoice Number :,RS103064556,Start :,01/03/2016 02:35:35 PM,End : ,01/03/2016 02:40:51 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
084253240499,IMAG CHKN BROTH 32,1.000,$3.79,$3.79,,,,,,,,,
052603054447,PACIF BEEF BROTH,1.000,$3.99,$3.99,,,,,,,,,
084253240482,IMAG VEG BROTH,1.000,$3.79,$3.79,,,,,,,,,
50006,SC BREAST BONELESS,1.030,$7.29,$7.51,,,,,,,,,
714360126880,BOTTLE POURER SPOUT,1.000,$1.79,$1.79,,,,,,,,,
725342291212,MG FIRE DICE SM TOM,3.000,$1.00,$3.00,,,,,,,,,
725342291212,MG FIRE DICE SM TOM,2.000,$1.00,$2.00,,,,,,,,,
022506104174,SPECT PNUT OIL HIGH,1.000,$9.49,$9.49,,,,,,,,,
799210920016,BIONAT OG TOM PASTE,1.000,$2.69,$2.69,,,,,,,,,
851492002047,CS COCO AMINOS,1.000,$6.19,$6.19,,,,,,,,,
851492002047,CS COCO AMINOS,1.000,$6.19,$6.19,,,,,,,,,
024182000597,EDEN RED WINE VINEGA,1.000,$3.29,$3.29,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2166 : zzJacob,Terminal :,3 : POS3                          ,Receipt Number :,64556,Invoice Number :,RS103064556,Start :,01/03/2016 02:35:35 PM,End : ,01/03/2016 02:40:51 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
07475,LL PORK SAUSAGE ITAL,.980,$7.59,$7.44,,,,,,,,,
07475,LL PORK SAUSAGE ITAL,.989,$7.59,$7.51,,,,,,,,,
07548,RAIN BISON BURGER,.905,$11.99,$10.85,,,,,,,,,
021834593131,HEMPLER PEPPER BACON,3.000,$5.19,$15.57,,,,,,,,,
853393000030,SA HABANERO HOT SAUC,1.000,$6.59,$6.59,,,,,,,,,
074483902939,WILCOX 18CT EGGS OME,2.000,$4.89,$9.78,,,,,,,,,
032601031152,LETTUCE ROMAINE HEARTS,1.000,$3.79,$3.79,,,,,,,,,
94094,CARROT BUNCH,1.000,$2.69,$2.69,,,,,,,,,
94817,POTATO SWEET,1.420,$1.99,$2.83,,,,,,,,,
94069,CABBAGE GREEN,3.580,$1.29,$4.62,,,,,,,,,
93121,PEPPER BELL ORANGE,.940,$5.99,$5.63,,,,,,,,,
94088,PEPPER BELL RED,.830,$2.99,$2.48,,,,,,,,,
3097,SESAME SD WHITE,.450,$2.89,$1.30,,,,,,,,,
94680,PEPPER BELL YELLOW,.370,$5.99,$2.22,,,,,,,,,
94095,ONION SWEET,3.460,$1.49,$5.16,,,,,,,,,
94749,SPINACH LOOSE,.100,$8.99,$.90,,,,,,,,,
94067,ZUCCHINI/ITALIAN SQUASH,.680,$2.99,$2.03,,,,,,,,,
94627,KALE BLACK ITALIAN,1.000,$2.79,$2.79,,,,,,,,,
812049009100,BLUEBERRY 6OZ,1.000,$5.99,$5.99,,,,,,,,,
182893000098,MANDARIN SATSUMA 3# BAG,1.000,$6.99,$6.99,,,,,,,,,
94095,ONION SWEET,1.080,$1.49,$1.61,,,,,,,,,
94663,ONION WHITE,2.250,$1.49,$3.35,,,,,,,,,
94770,AVOCADO HASS,1.000,$2.00,$2.00,,,,,,,,,
94062,CUCUMBER,.710,$3.99,$2.83,,,,,,,,,
94651,MUSHROOM SHIITAKE,.270,$9.99,$2.70,,,,,,,,,
94610,GARLIC DRY,.340,$5.99,$2.04,,,,,,,,,
94693,PEPPER JALAPENO,.190,$6.99,$1.33,,,,,,,,,
,Credit Card,,,$160.01,,,,,,,,,
,SUBTOTAL,,,$160.01,,,,,,,,,
,TOTAL,,,$160.01,,,,,,,,,
,TOTAL TENDERED,,,$160.01,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 160.01,,,,,,,,,,,,
,Approval #: 01747C,,,,,,,,,,,,
,Date: 1/3/16 2:40:51 PM PST,,,,,,,,,,,,
,Reference #: 0163,,,,,,,,,,,,
,Signature Captured,,,,,,,,,,,,
,Owner Sale Day,,,($16.73),,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2128 : zzDonovan,Terminal :,5 : POS5                          ,Receipt Number :,65103,Invoice Number :,RS105065103,Start :,01/03/2016 02:39:58 PM,End : ,01/03/2016 02:41:32 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94304,LEMON MEYER,.710,$3.99,$2.83,,,,,,,,,
,Cash,,,$2.83,,,,,,,,,
,SUBTOTAL,,,$2.83,,,,,,,,,
,TOTAL,,,$2.83,,,,,,,,,
,TOTAL TENDERED,,,$2.83,,,,,,,,,
,Change,,,$.00,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68818,Invoice Number :,RS106068818,Start :,01/03/2016 02:41:30 PM,End : ,01/03/2016 02:41:48 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
083783000122,SIERRA HOP HUNTER SGL,1.000,$1.33,$1.33,,,,,,,,,
,* * * Age Verified 21,,,,,,,,,,,,
62,6 PK BOTTLE DEPOSIT,.167,$.30,$.05,,,,,,,,,
083783000122,SIERRA HOP HUNTER SGL,1.000,$1.33,$1.33,,,,,,,,,
62,6 PK BOTTLE DEPOSIT,.167,$.30,$.05,,,,,,,,,
,DISC STAFF 15%,,,($.20),,,,,,,,,
,DISC STAFF 15%,,,($.20),,,,,,,,,
,Cash,,,$5.00,,,,,,,,,
,SUBTOTAL,,,$2.36,,,,,,,,,
,TOTAL,,,$2.36,,,,,,,,,
,TOTAL TENDERED,,,$5.00,,,,,,,,,
,Change,,,$2.64,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2128 : zzDonovan,Terminal :,5 : POS5                          ,Receipt Number :,65104,Invoice Number :,RS105065104,Start :,01/03/2016 02:42:07 PM,End : ,01/03/2016 02:43:44 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94901,PARSLEY ITALIAN,1.000,$1.99,$1.99,,,,,,,,,
073588306208,STIEBR LG WHT EGGS C,1.000,$4.69,$4.69,,,,,,,,,
1526,YEAST NUTR LG FLAKE,.300,$10.99,$3.30,,,,,,,,,
94817,POTATO SWEET,1.700,$1.99,$3.38,,,,,,,,,
019815530077,DECASA TORTILLA YELL,1.000,$1.79,$1.79,,,,,,,,,
019815530077,DECASA TORTILLA YELL,1.000,$1.79,$1.79,,,,,,,,,
019815530077,DECASA TORTILLA YELL,1.000,$1.79,$1.79,,,,,,,,,
,Bottle Return,,,($1.50),,,,,,,,,
,Debit Card,,,$57.23,,,,,,,,,
,SUBTOTAL,,,$17.23,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2128 : zzDonovan,Terminal :,5 : POS5                          ,Receipt Number :,65104,Invoice Number :,RS105065104,Start :,01/03/2016 02:42:07 PM,End : ,01/03/2016 02:43:44 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,TOTAL,,,$17.23,,,,,,,,,
,TOTAL TENDERED,,,$57.23,,,,,,,,,
,Change,,,$40.00,,,,,,,,,
,Amount: 57.23,,,,,,,,,,,,
,Date: 1/3/16 2:43:44 PM PST,,,,,,,,,,,,
,Reference #: 0164,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1030 : Jonathan,Terminal :,5 : POS5                          ,Receipt Number :,65105,Invoice Number :,RS105065105,Start :,01/03/2016 02:44:20 PM,End : ,01/03/2016 02:44:31 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Safe Drop - Cash,,,$92.03,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68819,Invoice Number :,RS106068819,Start :,01/03/2016 02:43:32 PM,End : ,01/03/2016 02:44:40 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
189588000036,CANAAN NABALI EVOO,1.000,$19.49,$19.49,,,,,,,,,
688853707026,BR FORMAGGIO ED AGLI,1.000,$5.39,$5.39,,,,,,,,,
94650,MUSHROOM PORTABELLA,.370,$7.99,$2.96,,,,,,,,,
94166,ONION SWEET,1.200,$1.49,$1.79,,,,,,,,,
94094,CARROT BUNCH,1.000,$2.69,$2.69,,,,,,,,,
94070,CELERY,1.000,$2.99,$2.99,,,,,,,,,
,Cash,,,$40.01,,,,,,,,,
,SUBTOTAL,,,$35.31,,,,,,,,,
,TOTAL,,,$35.31,,,,,,,,,
,TOTAL TENDERED,,,$40.01,,,,,,,,,
,Change,,,$4.70,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2128 : zzDonovan,Terminal :,5 : POS5                          ,Receipt Number :,65106,Invoice Number :,RS105065106,Start :,01/03/2016 02:46:10 PM,End : ,01/03/2016 02:46:15 PM
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2128 : zzDonovan,Terminal :,5 : POS5                          ,Receipt Number :,65106,Invoice Number :,RS105065106,Start :,01/03/2016 02:46:10 PM,End : ,01/03/2016 02:46:15 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
5,BOTTLE RETURN,7.000,($.05),($.35),,,,,,,,,
,Cash,,,,,,,,,,,,
,SUBTOTAL,,,($.35),,,,,,,,,
,TOTAL,,,($.35),,,,,,,,,
,TOTAL TENDERED,,,,,,,,,,,,
,Change,,,$.35,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68820,Invoice Number :,RS106068820,Start :,01/03/2016 02:45:49 PM,End : ,01/03/2016 02:46:40 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
699,FA SALAD BAR,.280,$8.99,$2.52,,,,,,,,,
,DISC STAFF 15%,,,($.38),,,,,,,,,
,Cash,,,$2.14,,,,,,,,,
,SUBTOTAL,,,$2.14,,,,,,,,,
,TOTAL,,,$2.14,,,,,,,,,
,TOTAL TENDERED,,,$2.14,,,,,,,,,
,Change,,,$.00,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2092 : zzDaisy,Terminal :,1 : POS1                          ,Receipt Number :,65219,Invoice Number :,RS101065219,Start :,01/03/2016 02:45:12 PM,End : ,01/03/2016 02:46:47 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
018673550128,LOCH 2% MILK HGAL,1.000,$1.99,$1.99,,,,,,,,,
94237,BANANA RIPE,1.760,$.79,$1.39,,,,,,,,,
018673550128,LOCH 2% MILK HGAL,3.000,$1.99,$5.97,,,,,,,,,
030354524389,SAAG CHKN BASIL SAUS,1.000,$7.99,$7.99,,,,,,,,,
02877,FA PAD THAI SALAD,1.620,$8.99,$14.56,,,,,,,,,
,Check,,,$40.00,,,,,,,,,
,SUBTOTAL,,,$31.90,,,,,,,,,
,TOTAL,,,$31.90,,,,,,,,,
,TOTAL TENDERED,,,$40.00,,,,,,,,,
,Change,,,$8.10,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68821,Invoice Number :,RS106068821,Start :,01/03/2016 02:47:32 PM,End : ,01/03/2016 02:47:32 PM
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68821,Invoice Number :,RS106068821,Start :,01/03/2016 02:47:32 PM,End : ,01/03/2016 02:47:32 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,No Sale,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2166 : zzJacob,Terminal :,3 : POS3                          ,Receipt Number :,64557,Invoice Number :,RS103064557,Start :,01/03/2016 02:41:06 PM,End : ,01/03/2016 02:48:57 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
092325333468,ANNIES ASIAN SESAME,1.000,$4.49,$4.49,,,,,,,,,
023254667010,HAIN SEA SALT IODIZE,1.000,$2.29,$2.29,,,,,,,,,
94457,MANDARIN SATSUMA/TDE,1.200,$2.99,$3.59,,,,,,,,,
94627,KALE BLACK ITALIAN,2.000,$2.79,$5.58,,,,,,,,,
071101001838,NNEST EGGS LARGE AA,2.000,$3.29,$6.58,,,,,,,,,
604183110503,FRONT SALSA TOMATILL,1.000,$3.00,$3.00,,,,,,,,,
604183110107,FRONT SALSA CHIPOTLE,1.000,$3.00,$3.00,,,,,,,,,
2821,BALSAMIC VINEGAR,1.180,$5.99,$7.07,,,,,,,,,
689544080206,FAGE GREEK YOGURT 2%,7.000,$1.79,$12.53,,,,,,,,,
784830001108,STRAUS SOUR CREAM,1.000,$3.99,$3.99,,,,,,,,,
706173012283,NV BLACK OLIVE SLICE,1.000,$1.89,$1.89,,,,,,,,,
074873163230,WESTBR OG KIDNEY BEA,1.000,$2.39,$2.39,,,,,,,,,
574873807764,Mfr. Coupon 074873-000000,,,($1.00),,,,,,,,,
070872198761,MC OG BTTR UNSALTED,1.000,$6.49,$6.49,,,,,,,,,
238,FETA VALBRESO,.210,$10.29,$2.16,,,,,,,,,
148810208930,ONION YELLOW 5# BAG,1.000,$3.99,$3.99,,,,,,,,,
021908509198,LARA COCO CRM PIE BA,1.000,$1.00,$1.00,,,,,,,,,
021908509372,LARA CHOC CHIP COOKI,1.000,$1.00,$1.00,,,,,,,,,
021908509242,LARA CHERRY PIE BAR,1.000,$1.00,$1.00,,,,,,,,,
021908509358,LARA PB CHOC CHIP BA,1.000,$1.00,$1.00,,,,,,,,,
021908509365,LARA CHOC CHIP BAR,1.000,$1.00,$1.00,,,,,,,,,
021908509242,LARA CHERRY PIE BAR,1.000,$1.00,$1.00,,,,,,,,,
021908509235,LARA CHOC COCONUT BA,1.000,$1.00,$1.00,,,,,,,,,
021908509174,LARABAR LEMON,1.000,$1.00,$1.00,,,,,,,,,
021908509259,LARA CASHEW COOKIE B,1.000,$1.00,$1.00,,,,,,,,,
021908507033,LARA CHOC CHIP CHERR,1.000,$1.00,$1.00,,,,,,,,,
853081002049,NIBMOR DK CHOC EXTRE,1.000,$1.99,$1.99,,,,,,,,,
2278,CHILI PWDR OG NSALT,.210,$17.89,$3.76,,,,,,,,,
521908508134,Mfr. Coupon 021908-000000,,,($1.00),,,,,,,,,
521908508134,Mfr. Coupon 021908-000000,,,($1.00),,,,,,,,,
2601,FLR BAKER CHOICE,2.020,$1.79,$3.62,,,,,,,,,
2435,PAPRIKA SMOKED,.040,$13.99,$.56,,,,,,,,,
94048,LIME,.360,$2.99,$1.08,,,,,,,,,
648649070079,NIMAN RANCH BACON,1.000,$7.99,$7.99,,,,,,,,,
94011,BANANA,2.170,$.99,$2.15,,,,,,,,,
011033880330,KUZU NOPAL DANK SAUC,1.000,$5.69,$5.69,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2166 : zzJacob,Terminal :,3 : POS3                          ,Receipt Number :,64557,Invoice Number :,RS103064557,Start :,01/03/2016 02:41:06 PM,End : ,01/03/2016 02:48:57 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94817,POTATO SWEET,.940,$1.99,$1.87,,,,,,,,,
94053,LEMON,.530,$2.99,$1.58,,,,,,,,,
94749,SPINACH LOOSE,.490,$8.99,$4.41,,,,,,,,,
94088,PEPPER BELL RED,.580,$2.99,$1.73,,,,,,,,,
94664,TOMATO,1.180,$3.99,$4.71,,,,,,,,,
94693,PEPPER JALAPENO,.100,$6.99,$.70,,,,,,,,,
93160,TURMERIC,.110,$17.99,$1.98,,,,,,,,,
94612,GINGER,.250,$4.99,$1.25,,,,,,,,,
032601031152,LETTUCE ROMAINE HEARTS,1.000,$3.79,$3.79,,,,,,,,,
017077001328,LIFEWAY PLAIN KEFIR,1.000,$4.79,$4.79,,,,,,,,,
94889,CILANTRO,1.000,$1.49,$1.49,,,,,,,,,
94901,PARSLEY ITALIAN,1.000,$1.99,$1.99,,,,,,,,,
94094,CARROT BUNCH,1.000,$2.69,$2.69,,,,,,,,,
94068,ONION GREEN/SCALLION,2.000,$.99,$1.98,,,,,,,,,
94593,CUCUMBER EURO/ASIAN,1.000,$3.49,$3.49,,,,,,,,,
94286,GRAPEFRUIT RIO,1.830,$1.49,$2.73,,,,,,,,,
94079,CAULIFLOWER,1.790,$4.99,$8.93,,,,,,,,,
706173003571,NV TOILET PAPER,4.000,$.79,$3.16,,,,,,,,,
706173003571,NV TOILET PAPER,1.000,$.79,$.79,,,,,,,,,
706173003571,Removed >> NV TOILET PAPER,(1.000),$.79,($.79),,,,,,,,,
07537,MCK XLEAN GRND BEEF,1.015,$8.19,$8.31,,,,,,,,,
,Debit Card,,,$149.96,,,,,,,,,
,SUBTOTAL,,,$149.96,,,,,,,,,
,TOTAL,,,$149.96,,,,,,,,,
,TOTAL TENDERED,,,$149.96,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 149.96,,,,,,,,,,,,
,Date: 1/3/16 2:48:57 PM PST,,,,,,,,,,,,
,Reference #: 0165,,,,,,,,,,,,
,Owner Sale Day,,,($14.50),,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68822,Invoice Number :,RS106068822,Start :,01/03/2016 02:48:40 PM,End : ,01/03/2016 02:49:10 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
02603,FA GRILLED SALMON,.355,$18.99,$6.74,,,,,,,,,
00312,FA PISCES TUNA SALAD,.535,$11.99,$6.41,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,6 : POS6                          ,Receipt Number :,68822,Invoice Number :,RS106068822,Start :,01/03/2016 02:48:40 PM,End : ,01/03/2016 02:49:10 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Cash,,,$20.15,,,,,,,,,
,SUBTOTAL,,,$13.15,,,,,,,,,
,TOTAL,,,$13.15,,,,,,,,,
,TOTAL TENDERED,,,$20.15,,,,,,,,,
,Change,,,$7.00,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2092 : zzDaisy,Terminal :,1 : POS1                          ,Receipt Number :,65220,Invoice Number :,RS101065220,Start :,01/03/2016 02:47:15 PM,End : ,01/03/2016 02:49:59 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
667796901029,POTATO RUSSET 5# BAG,1.000,$4.99,$4.99,,,,,,,,,
94088,PEPPER BELL RED,.330,$2.99,$.99,,,,,,,,,
94060,BROCCOLI,1.370,$2.99,$4.10,,,,,,,,,
94540,BEET RED LOOSE,.460,$1.99,$.92,,,,,,,,,
94562,CARROT,1.100,$1.99,$2.19,,,,,,,,,
94088,PEPPER BELL RED,.240,$2.99,$.72,,,,,,,,,
032601031152,LETTUCE ROMAINE HEARTS,1.000,$3.79,$3.79,,,,,,,,,
817670010563,AE SALTED CARAMEL TR,1.000,$.89,$.89,,,,,,,,,
94642,SALAD MIX MESCLUN/ASIAN,.180,$9.99,$1.80,,,,,,,,,
94576,CELERY STICK,.150,$2.99,$.45,,,,,,,,,
1990,CMAM TANGO DECAF,.450,$12.99,$5.85,,,,,,,,,
1980,PACIF RIVER MUD,1.050,$12.69,$13.32,,,,,,,,,
1980,Removed >> PACIF RIVER MUD,(1.050),$12.69,($13.32),,,,,,,,,
1980,PACIF RIVER MUD,1.020,$12.69,$12.94,,,,,,,,,
2464,PEPPER WHT OG WHL,.200,$25.99,$5.20,,,,,,,,,
084114112699,KETTLE GRAB BAG SEA,1.000,$.99,$.99,,,,,,,,,
3279,CRANBERRIES USA,.590,$6.99,$4.12,,,,,,,,,
2510,BLUEBERRIES DRIED,.670,$28.99,$19.42,,,,,,,,,
148810208930,ONION YELLOW 5# BAG,1.000,$3.99,$3.99,,,,,,,,,
,Credit Card,,,$66.19,,,,,,,,,
,SUBTOTAL,,,$66.19,,,,,,,,,
,TOTAL,,,$66.19,,,,,,,,,
,TOTAL TENDERED,,,$66.19,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 66.19,,,,,,,,,,,,
,Approval #: 554107,,,,,,,,,,,,
,Date: 1/3/16 2:49:59 PM PST,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2092 : zzDaisy,Terminal :,1 : POS1                          ,Receipt Number :,65220,Invoice Number :,RS101065220,Start :,01/03/2016 02:47:15 PM,End : ,01/03/2016 02:49:59 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Reference #: 0166,,,,,,,,,,,,
,Signature Captured,,,,,,,,,,,,
,Owner Sale Day,,,($7.16),,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2128 : zzDonovan,Terminal :,4 : POS4                          ,Receipt Number :,59251,Invoice Number :,RS104059251,Start :,01/03/2016 02:47:50 PM,End : ,01/03/2016 02:50:04 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
1919,PACIF LABOR OF LOVE,.820,$7.99,$6.55,,,,,,,,,
688853707088,BR 3 SEED BAGUETTE,1.000,$4.69,$4.69,,,,,,,,,
94642,SALAD MIX MESCLUN/ASIAN,.120,$9.99,$1.20,,,,,,,,,
94583,CELERY,1.000,$2.99,$2.99,,,,,,,,,
019815530015,CARMEN SNACK TORTILL,1.000,$1.79,$1.79,,,,,,,,,
073472003701,FFL CORN TORTILLAS,1.000,$2.99,$2.99,,,,,,,,,
00141,TILLAM CHEDDAR SHARP,.645,$7.89,$5.09,,,,,,,,,
